sain,description,title
nqrpfken,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>32GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 32GB - Pink
1hzt6770,"<p>If you are a fan of Welsh rugby, our black Welsh Rugby Union joggers will be right up your street. Crafted from pure cotton, they have the three white feathers logo on the front, near to the pocket area, and a comfy elasticated waist. Team with a WRU top for a matching combo.</p><ul><li>Welsh Rugby Union logo</li><li>Pure cotton</li><li>Front pockets</li><li>Cuff ankles</li><li>Elasticated waist</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Welsh Rugby Union Black Joggers - XL
rpxngxxn,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>256GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 256GB - Blue
sk9jmz05,"<p>If you are a fan of Welsh rugby, our black Welsh Rugby Union joggers will be right up your street. Crafted from pure cotton, they have the three white feathers logo on the front, near to the pocket area, and a comfy elasticated waist. Team with a WRU top for a matching combo.</p><ul><li>Welsh Rugby Union logo</li><li>Pure cotton</li><li>Front pockets</li><li>Cuff ankles</li><li>Elasticated waist</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Welsh Rugby Union Black Joggers - XXL
r1q8qn0v,"<p>Portion control can be a pain. However, thanks to inventor Jan Habraken, you can now pour out the perfect portions every time with Silo. Simply fill one of the three Silo containers with dry ingredients, and each pour will measure out exactly what you need. <br \><br \></p><p>3 different size containers: large, medium & small. <br \><br \></p><p>Hinged lid seals tight to retain freshness and opens easily for quick pouring. </p><p>Features:</p><ul><li>Material: plastic. </li><li>Airtight seal. </li><li>BPA free. </li></ul><p>General information:</p><ul><li>Hand wash only. </li><li>Microwave safe, freezer safe and dishwasher safe. </li><li>Manufacturer&apos;s 2 year guarantee. </li><li>EAN: 840410102891. </li></ul>",Quirky Portion Control Food Storage Containers - 3 Pack.
vmeq46t7,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>128GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 128GB - Gold
kkyehrqd,"<p>If you are a fan of Welsh rugby, our black Welsh Rugby Union joggers will be right up your street. Crafted from pure cotton, they have the three white feathers logo on the front, near to the pocket area, and a comfy elasticated waist. Team with a WRU top for a matching combo.</p><ul><li>Welsh Rugby Union logo</li><li>Pure cotton</li><li>Front pockets</li><li>Cuff ankles</li><li>Elasticated waist</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul>",Welsh Rugby Union Black Joggers - XXXL
e5vr28f0,"<p>The OXO SoftWorks POP Containers are airtight, stackable and space-efficient, making it easy to keep your dry foods fresh and your kitchen organised. The Containers have a unique push-button mechanism that creates an airtight seal with just one touch. The button also serves as a handle to lift off the lid. <br \><br \></p><p>The Containers are designed for modular stacking, while their corners allow for easy pouring. <br \><br \></p><p>Features:</p><ul><li>Material: plastic. </li><li>Airtight seal. </li></ul><p>General information:</p><ul><li>Freezer safe . </li><li>Manufacturer&apos;s lifetime against defects only guarantee. </li><li>EAN: 719812073934. </li></ul>",OXO Softworks POP Rectangle Storage Container - 3.5 Litre.
56ftzc1z,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>32GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 32GB - Blue
st3qp71m,"<p>4 piece super storer set includes capacities; 2.75L, 5.5L, 8.5L, 12.5L. Perfect for bulk dry storage, including cerials, rice, pasta, pulses and pet food. Durable and dishwasher safe, BPA Free, Made in Australia. <br \><br \></p><p>Perfect for cool room storage. <br \><br \></p><p>Nestable. </p><p>Features:</p><ul><li>Material: polypropylene. </li><li>Airtight seal. </li><li>BPA free. </li></ul><p>General information:</p><ul><li>Microwave safe, freezer safe and dishwasher safe. </li><li>EAN: 9300621022155. </li></ul>",Superstore Food Storage Value Set - 4 Piece.
ve1hmk4s,,Red Check Crew Neck Jumper
vwc442ym,"<p>Lay out your teams, toss the coin and kick off. The first player reads their fact and guesses whether the answer is higher or lower than the preceding card. Guess correct and there&apos;s a chance for you to move up the pitch. Guess incorrectly and play passes to your opponent. Reveal all your cards correctly and score. <br \><br \></p><p>Take on family and friends in this game of footballing higher or lower. It&apos;s a game of two halves. <br \><br \></p><p>Know your facts to win the match! <br \><br \></p><p>It&apos;s end to end action. <br \><br \></p><p>With 150 fun footballing facts covering different eras, competition and players. <br \><br \></p><p>There&apos;s fun for all the family. Be the team to beat! <br \><br \></p><ul><li>Contents: 150 fact cards, 1 coin, 4 formation cards, 2 substitute cards and 6 forfeit cards. </li><li>2 or more players. </li><li>For ages 8 years and over. </li><li>EAN 5020674107398. </li></ul><p>WARNING(S):</p><ul><li>Not suitable for children under 3 years old. </li><li>Only for domestic use. </li></ul>",Ideal Flip Facts Shoot Game
6x3g1dn6,"<p>Set includes a clear easy pour 2.0L Juice jug and 5L cereal server. Both come with easy open click-close airtight lids. Dishwasher safe, BPA Free, Made in Australia. <br \><br \></p><p>Features:</p><ul><li>Material: polypropylene. </li><li>Airtight seal. </li><li>BPA free. </li></ul><p>General information:</p><ul><li>Microwave safe, freezer safe and dishwasher safe. </li><li>EAN: 9300621026016. </li></ul>",Tellfresh Breakfast Set.
as2fm8zg,"<p>Get cosy this season in our wool blend red check jumper. With a touch of punk styling, it's perfect for wintery walks and for drinks with friends and family over the festive period. Team with jeans and boots for a cool look that will keep you warm.</p><ul><li>Red check design</li><li>Crew neck</li><li>Long sleeves</li><li>Wool blend</li><li>Model wears a size M</li><li>Model's height is 6'</li></ul><p>&nbsp;</p><p>&nbsp;</p>",Red Check Crew Neck Jumper - S
